timestamp,pump,target_threshold_v,vote_k,hz,irrigate_seconds,over_threshold_count,triggered,irrigated,before_v0,before_v1,before_v2,before_v3,after_v0,after_v1,after_v2,after_v3
1764732793.3958664,water,1.5,2,30000.0,1.0,4,1,1,3.29155,3.289875,3.2891250000000003,3.28505,3.2908500000000003,3.287525,3.28795,3.2898
1764732964.6922941,water,1.5,2,30000.0,5.0,4,1,1,3.2919,3.2896,3.288925,3.289575,3.2919750000000003,3.29015,3.28945,3.290425
1764732980.223552,water,1.5,2,30000.0,5.0,4,1,1,3.2921,3.2822,3.28145,3.290475,3.292425,3.29,3.289625,3.290675
1764734464.3118963,water,1.5,2,30000.0,1.0,4,1,1,3.290575,3.288675,3.289,3.289225,3.282875,3.2893250000000003,3.2887,3.289825
1764736281.540261,food,1.5,2,30000.0,5.0,4,1,1,2.634125,3.29045,3.2896,3.29025,3.2918000000000003,3.290425,3.289975,3.29015
1764736288.537142,food,1.5,2,30000.0,5.0,4,1,1,3.2919,3.28995,3.2897250000000002,3.2902,3.29135,3.289775,3.2895,3.29015
1764736305.2606359,food,1.5,2,30000.0,1.0,4,1,1,3.291975,3.290125,3.2903000000000002,3.29005,3.2921750000000003,3.2906500000000003,3.290125,3.290475
1764736307.0073886,food,1.5,2,30000.0,1.0,4,1,1,3.292075,3.290025,3.289875,3.290275,3.291725,3.289675,3.29005,3.290375
1764736319.795523,food,1.5,2,30000.0,1.0,4,1,1,3.2925750000000003,3.290275,3.2895,3.2902750000000003,3.29215,3.28975,3.29,3.28915
1764736321.7642274,food,1.5,2,30000.0,1.0,4,1,1,3.2916250000000002,3.290125,3.2898,3.289975,3.29115,3.290225,3.2895,3.29015
1764736323.8494334,food,1.5,2,30000.0,1.0,4,1,1,3.2918250000000002,3.2901,3.289825,3.290425,3.287125,3.2799,3.288475,3.28975
1764736336.3966901,water,1.5,2,30000.0,1.0,4,1,1,3.2921500000000004,3.2904500000000003,3.290175,3.29075,3.291675,3.2895,3.2898,3.2900500000000004
1764736339.3901362,water,1.5,2,30000.0,1.0,4,1,1,3.29175,3.2901,3.2901,3.2881500000000004,3.29165,3.2905,3.289475,3.2899249999999998
1764736350.1279385,food,1.5,2,10000.0,1.0,4,1,1,3.2815250000000002,3.28795,3.289925,3.289975,3.291875,3.2896,3.28945,3.29015
1764736352.2213202,food,1.5,2,10000.0,1.0,4,1,1,3.2918000000000003,3.290175,3.289475,3.290175,3.29195,3.289975,3.29,3.2901000000000002
1764736355.4738023,food,1.5,2,10000.0,1.0,4,1,1,3.2917,3.2895250000000003,3.28965,3.2809500000000003,3.29155,3.29,3.2891,3.29
1764736360.8939133,food,1.5,2,30000.0,1.0,4,1,1,3.291225,3.289875,3.2901,3.290125,3.2920000000000003,3.290125,3.28955,3.2898
1764736362.8472705,food,1.5,2,30000.0,1.0,4,1,1,3.2919500000000004,3.289375,3.289575,3.289775,3.2913,3.289975,3.2893000000000003,3.28945
1764736372.5184443,food,1.5,2,30000.0,5.0,4,1,1,3.291675,3.2904,3.2895,3.289675,3.292075,3.289975,3.289575,3.2904750000000003
1764736380.8487217,food,1.5,2,30000.0,5.0,4,1,1,3.2914250000000003,3.2902,3.28995,3.2904,3.291675,3.2899249999999998,3.289625,3.290175
1764736389.5387845,food,1.5,2,30000.0,5.0,4,1,1,3.291875,3.290175,3.289925,3.2902,3.2914,3.289175,3.28885,3.289725
1764736409.5360086,food,1.5,2,30000.0,5.0,4,1,1,3.2870250000000003,3.2896,3.2895,3.2898,3.29145,3.290125,3.28905,3.2798000000000003
1764736431.2423344,food,1.5,2,30000.0,5.0,4,1,1,3.29165,3.28935,3.289925,3.288025,3.291225,3.28935,3.289275,3.289625
1764736440.227726,food,1.5,2,30000.0,5.0,4,1,1,3.29165,3.2897,3.28985,3.290025,3.2907,3.29005,3.289825,3.29005
1764736448.2361388,food,1.5,2,30000.0,5.0,4,1,1,3.281375,3.285525,3.28955,3.2900750000000003,3.2918250000000002,3.290075,3.2899,3.28965
1764736462.6190572,food,1.5,2,30000.0,5.0,4,1,1,3.291125,3.289825,3.288975,3.289825,3.2916250000000002,3.2895,3.289025,3.289875
1764736473.131395,food,1.5,2,30000.0,5.0,4,1,1,3.283675,3.281375,3.289575,3.2899,3.291875,3.2901000000000002,3.2898,3.29015
1764736479.0646229,food,1.5,2,30000.0,5.0,4,1,1,3.291675,3.290025,3.28985,3.2898,3.2912500000000002,3.290025,3.2898,3.289775
1764736572.4229047,food,1.5,2,30000.0,60.0,4,1,1,1.837775,3.282425,3.28965,3.28985,0.960775,3.289725,0.967975,1.6954
1764737100.3991182,food,1.5,2,30000.0,30.0,0,0,0,1.239975,1.172275,1.233425,1.3179750000000001,,,,
1764737108.364513,food,1.5,2,30000.0,30.0,0,0,0,1.24295,1.176075,1.23635,1.319175,,,,
1764737145.5460298,food,1.5,2,30000.0,5.0,0,0,0,1.236625,1.174,1.21945,1.308325,,,,
1764737147.5504704,food,1.5,2,30000.0,5.0,0,0,0,1.2363,1.17365,1.2184,1.307075,,,,
1764737170.5097177,food,1.0,2,30000.0,5.0,4,1,1,1.214725,1.1406,1.190275,1.2841500000000001,1.22295,1.14785,1.1958,1.297975
1764737185.0774002,food,1.0,2,30000.0,5.0,4,1,1,1.206525,1.142325,1.1689,1.2657,1.232075,1.161825,1.21015,1.299525
1764737192.3735223,food,1.0,2,30000.0,5.0,4,1,1,1.2213,1.153375,1.1935,1.2863,1.239575,1.16845,1.221975,1.3096
1764786984.3284204,food,1.0,2,30000.0,5.0,4,1,1,1.088125,1.0767,1.07,1.5103,1.0842,1.077575,1.070125,1.50985
1764787016.9624863,food,1.0,2,10000.0,5.0,4,1,1,1.083675,1.07615,1.070375,1.514175,1.10785,1.09825,1.096625,1.5386250000000001
1764787029.0853367,food,1.0,2,30000.0,5.0,4,1,1,1.101875,1.09585,1.09375,1.5392,1.1463750000000001,1.14135,1.143375,1.57905
1764787035.8578162,food,1.0,2,30000.0,5.0,4,1,1,1.1426,1.136525,1.13985,1.5762,1.195525,1.19335,1.195725,1.62985
1764787042.6427274,food,1.0,2,30000.0,5.0,4,1,1,1.2008,1.197875,1.1987,1.6312250000000001,1.2376,1.237075,1.2479500000000001,1.66145
1764787174.5702102,water,1.5,2,30000.0,5.0,0,0,0,1.319225,1.260475,1.3759750000000002,1.22475,,,,
1764787184.786881,water,1.5,2,30000.0,5.0,0,0,0,1.33705,1.276775,1.397125,1.2365249999999999,,,,
1764787275.192776,food,1.2,2,30000.0,5.0,4,1,1,1.336475,1.276975,1.421875,1.22285,1.3707,1.313,1.465425,1.262875
1764787287.3727133,food,1.2,2,30000.0,5.0,4,1,1,1.3771,1.3211,1.4728,1.26935,1.375925,1.322275,1.474925,1.2452750000000001
1764787301.2222538,food,1.2,2,30000.0,5.0,4,1,1,1.391675,1.3388,1.480575,1.2676749999999999,1.38785,1.338525,1.476325,1.2618500000000001
1764787307.3076503,food,1.2,2,30000.0,5.0,4,1,1,1.388975,1.339625,1.475975,1.262275,1.3982,1.3472250000000001,1.4658,1.2771000000000001
1764789107.5521195,food,1.2,2,30000.0,5.0,4,1,1,1.488,1.6177000000000001,1.641025,1.38995,1.5135,1.6423750000000001,1.6713,1.435275
1764801703.2952414,food,2.0,2,30000.0,5.0,0,0,0,1.6272,1.74605,1.795,1.54845,,,,
1764801713.5100186,food,2.0,2,30000.0,5.0,0,0,0,1.6288,1.7462,1.795075,1.5493,,,,
1764801723.7251716,food,2.0,2,30000.0,5.0,0,0,0,1.62705,1.746375,1.795025,1.550175,,,,
1764801907.4562283,water,2.0,2,30000.0,5.0,0,0,0,1.6308,1.747025,1.796,1.55125,,,,
1764801937.6657605,water,2.0,2,30000.0,5.0,0,0,0,1.63195,1.747175,1.79665,1.5504,,,,
1764801967.8787751,water,2.0,2,30000.0,5.0,0,0,0,1.6304750000000001,1.7473,1.7968250000000001,1.5506,,,,
1764801998.0882294,water,2.0,2,30000.0,5.0,0,0,0,1.6297,1.74755,1.796975,1.5508,,,,
1764802028.3011558,water,2.0,2,30000.0,5.0,0,0,0,1.632325,1.7475500000000002,1.797075,1.55,,,,
1764802058.5098162,water,2.0,2,30000.0,5.0,0,0,0,1.631925,1.747675,1.79735,1.551525,,,,
1764802088.7190876,water,2.0,2,30000.0,5.0,0,0,0,1.629125,1.7479500000000001,1.797725,1.5518,,,,
1764802118.9280863,water,2.0,2,30000.0,5.0,0,0,0,1.629825,1.748075,1.797725,1.552175,,,,
1764802149.141126,water,2.0,2,30000.0,5.0,0,0,0,1.63145,1.7481,1.797725,1.553175,,,,
1764802179.351234,water,2.0,2,30000.0,5.0,0,0,0,1.63115,1.7483,1.79795,1.553225,,,,
1764802209.564453,water,2.0,2,30000.0,5.0,0,0,0,1.63005,1.748375,1.798075,1.554125,,,,
1764802239.777771,water,2.0,2,30000.0,5.0,0,0,0,1.6323,1.748775,1.7980500000000001,1.554675,,,,
1764802269.990824,water,2.0,2,30000.0,5.0,0,0,0,1.6307,1.748775,1.79855,1.553125,,,,
1764802300.2043347,water,2.0,2,30000.0,5.0,0,0,0,1.629875,1.74905,1.798775,1.55445,,,,
1764802330.4183283,water,2.0,2,30000.0,5.0,0,0,0,1.631825,1.7488000000000001,1.7986250000000001,1.55325,,,,
1764802360.631781,water,2.0,2,30000.0,5.0,0,0,0,1.632525,1.74915,1.798975,1.554,,,,
1764802390.8452222,water,2.0,2,30000.0,5.0,0,0,0,1.632375,1.749125,1.79905,1.553075,,,,
1764802421.0585506,water,2.0,2,30000.0,5.0,0,0,0,1.6334,1.749025,1.7993,1.5539,,,,
1764802451.2717743,water,2.0,2,30000.0,5.0,0,0,0,1.6329,1.74865,1.799225,1.55335,,,,
1764802481.4825935,water,2.0,2,30000.0,5.0,0,0,0,1.630525,1.7497,1.7995,1.5551,,,,
1764802511.6957657,water,2.0,2,30000.0,5.0,0,0,0,1.633675,1.7496,1.79965,1.5566,,,,
1764802541.9086566,water,2.0,2,30000.0,5.0,0,0,0,1.6334250000000001,1.7496,1.799775,1.55535,,,,
1764802572.1213233,water,2.0,2,30000.0,5.0,0,0,0,1.631,1.7499500000000001,1.8,1.55585,,,,
1764802602.335217,water,2.0,2,30000.0,5.0,0,0,0,1.632225,1.7499,1.8001500000000001,1.5556750000000001,,,,
1764802632.5481417,water,2.0,2,30000.0,5.0,0,0,0,1.634725,1.7501,1.8002,1.5554000000000001,,,,
1764802662.7616963,water,2.0,2,30000.0,5.0,0,0,0,1.634425,1.7501,1.8002,1.55675,,,,
1764802692.9747858,water,2.0,2,30000.0,5.0,0,0,0,1.6352,1.750075,1.800375,1.557175,,,,
1764802723.1882873,water,2.0,2,30000.0,5.0,0,0,0,1.636825,1.750775,1.788325,1.558425,,,,
1764802753.4021385,water,2.0,2,30000.0,5.0,0,0,0,1.635875,1.750725,1.7891000000000001,1.55795,,,,
1764802783.6156445,water,2.0,2,30000.0,5.0,0,0,0,1.6369,1.750875,1.7890000000000001,1.5582500000000001,,,,
1764802813.828908,water,2.0,2,30000.0,5.0,0,0,0,1.63535,1.75115,1.78865,1.55735,,,,
1764802844.0429094,water,2.0,2,30000.0,5.0,0,0,0,1.6366,1.7510000000000001,1.789825,1.5606,,,,
1764802874.2562842,water,2.0,2,30000.0,5.0,0,0,0,1.6374250000000001,1.7513,1.7891000000000001,1.560175,,,,
1764802904.469189,water,2.0,2,30000.0,5.0,0,0,0,1.6379000000000001,1.7513750000000001,1.7892000000000001,1.5598,,,,
1764802934.6827588,water,2.0,2,30000.0,5.0,0,0,0,1.6385,1.7516,1.7887,1.55995,,,,
1764802964.8958359,water,2.0,2,30000.0,5.0,0,0,0,1.6381000000000001,1.7517500000000001,1.788975,1.558125,,,,
1764802995.109128,water,2.0,2,30000.0,5.0,0,0,0,1.6374,1.751725,1.789725,1.560675,,,,
1764803025.3227396,water,2.0,2,30000.0,5.0,0,0,0,1.638625,1.751925,1.790775,1.559525,,,,
1764803055.5366075,water,2.0,2,30000.0,5.0,0,0,0,1.637025,1.752075,1.7934750000000002,1.5604500000000001,,,,
1764803085.750292,water,2.0,2,30000.0,5.0,0,0,0,1.639075,1.7518,1.7965250000000001,1.56175,,,,
1764803115.9635038,water,2.0,2,30000.0,5.0,0,0,0,1.638075,1.7516500000000002,1.7979,1.560475,,,,
1764803146.176723,water,2.0,2,30000.0,5.0,0,0,0,1.6384,1.751725,1.798375,1.56185,,,,
1764803176.3902419,water,2.0,2,30000.0,5.0,0,0,0,1.6377,1.752125,1.7989249999999999,1.560775,,,,
1764803206.6035578,water,2.0,2,30000.0,5.0,0,0,0,1.639175,1.7523250000000001,1.7991,1.562775,,,,
1764803236.8167317,water,2.0,2,30000.0,5.0,0,0,0,1.6403,1.75215,1.799325,1.561325,,,,
1764803267.0303662,water,2.0,2,30000.0,5.0,0,0,0,1.638725,1.752625,1.799725,1.5616,,,,
1764803297.243299,water,2.0,2,30000.0,5.0,0,0,0,1.639625,1.7527000000000001,1.800075,1.563025,,,,
1764803327.4569917,water,2.0,2,30000.0,5.0,0,0,0,1.63805,1.752825,1.800275,1.562025,,,,
1764803357.6709461,water,2.0,2,30000.0,5.0,0,0,0,1.63915,1.752675,1.8007250000000001,1.563725,,,,
1764803387.8842204,water,2.0,2,30000.0,5.0,0,0,0,1.638825,1.75305,1.8009,1.563425,,,,
1764803418.0969856,water,2.0,2,30000.0,5.0,0,0,0,1.6383,1.753025,1.8007,1.56285,,,,
1764803448.306535,water,2.0,2,30000.0,5.0,0,0,0,1.641,1.75325,1.8009249999999999,1.562725,,,,
1764803478.5194862,water,2.0,2,30000.0,5.0,0,0,0,1.639775,1.753125,1.801075,1.5620500000000002,,,,
1764803508.7334373,water,2.0,2,30000.0,5.0,0,0,0,1.6384,1.7525,1.801325,1.5642,,,,
1764803538.9466183,water,2.0,2,30000.0,5.0,0,0,0,1.64005,1.753325,1.801675,1.564425,,,,
1764803569.1601322,water,2.0,2,30000.0,5.0,0,0,0,1.63985,1.7532,1.8013,1.564875,,,,
1764803599.3732502,water,2.0,2,30000.0,5.0,0,0,0,1.6407,1.753525,1.8014000000000001,1.565425,,,,
1764803629.5826457,water,2.0,2,30000.0,5.0,0,0,0,1.6415250000000001,1.753775,1.8012,1.5669250000000001,,,,
1764803659.7967083,water,2.0,2,30000.0,5.0,0,0,0,1.640925,1.7536,1.80155,1.567275,,,,
1764803690.010223,water,2.0,2,30000.0,5.0,0,0,0,1.642925,1.7538250000000002,1.80175,1.56535,,,,
1764803720.2233455,water,2.0,2,30000.0,5.0,0,0,0,1.641675,1.753725,1.801925,1.567475,,,,
1764803750.436549,water,2.0,2,30000.0,5.0,0,0,0,1.6402750000000001,1.753625,1.8025,1.5664,,,,
1764803780.649909,water,2.0,2,30000.0,5.0,0,0,0,1.6408500000000001,1.753575,1.802675,1.566975,,,,
1764803810.864768,water,2.0,2,30000.0,5.0,0,0,0,1.64035,1.7536500000000002,1.8025250000000002,1.568025,,,,
1764803841.0782604,water,2.0,2,30000.0,5.0,0,0,0,1.6413,1.753625,1.8028250000000001,1.567425,,,,
1764803871.2920318,water,2.0,2,30000.0,5.0,0,0,0,1.64065,1.753625,1.8022500000000001,1.568125,,,,
1764803901.5052688,water,2.0,2,30000.0,5.0,0,0,0,1.6410500000000001,1.753875,1.8034000000000001,1.5664500000000001,,,,
1764803931.720611,water,2.0,2,30000.0,5.0,0,0,0,1.641675,1.754,1.803325,1.568625,,,,
1764803961.9341156,water,2.0,2,30000.0,5.0,0,0,0,1.64185,1.7539,1.8033000000000001,1.5688,,,,
1764803992.143195,water,2.0,2,30000.0,5.0,0,0,0,1.6436250000000001,1.75415,1.8035750000000002,1.56955,,,,
1764804022.35607,water,2.0,2,30000.0,5.0,0,0,0,1.639875,1.75425,1.7986250000000001,1.568175,,,,
1764804052.569627,water,2.0,2,30000.0,5.0,0,0,0,1.6435250000000001,1.7541499999999999,1.8014000000000001,1.569725,,,,
1764804082.783061,water,2.0,2,30000.0,5.0,0,0,0,1.646225,1.754175,1.803075,1.5693000000000001,,,,
1764804112.9962847,water,2.0,2,30000.0,5.0,0,0,0,1.647175,1.754425,1.8036750000000001,1.5695000000000001,,,,
1764804143.2095773,water,2.0,2,30000.0,5.0,0,0,0,1.648025,1.754675,1.8037,1.5705,,,,
1764804173.422897,water,2.0,2,30000.0,5.0,0,0,0,1.6477,1.7545250000000001,1.804075,1.570125,,,,
1764804203.6384058,water,2.0,2,30000.0,5.0,0,0,0,1.646575,1.754175,1.804025,1.57175,,,,
1764804233.8517094,water,2.0,2,30000.0,5.0,0,0,0,1.6456,1.754475,1.8038500000000002,1.57085,,,,
1764804264.063566,water,2.0,2,30000.0,5.0,0,0,0,1.6447,1.753925,1.8034000000000001,1.57025,,,,
1764804294.2791991,water,2.0,2,30000.0,5.0,0,0,0,1.6448,1.754075,1.803275,1.5717,,,,
1764804324.4973247,water,2.0,2,30000.0,5.0,0,0,0,1.64525,1.7543,1.8033000000000001,1.57155,,,,
1764804354.7150295,water,2.0,2,30000.0,5.0,0,0,0,1.6449,1.7542,1.803525,1.573575,,,,
1764804384.9316564,water,2.0,2,30000.0,5.0,0,0,0,1.64525,1.75445,1.79715,1.572975,,,,
1764804415.149574,water,2.0,2,30000.0,5.0,0,0,0,1.6463,1.7544,1.80055,1.5741500000000002,,,,
1764804445.369051,water,2.0,2,30000.0,5.0,0,0,0,1.6454250000000001,1.754525,1.80305,1.5736,,,,
1764804475.5873284,water,2.0,2,30000.0,5.0,0,0,0,1.64795,1.754625,1.803525,1.57515,,,,
1764804505.8046374,water,2.0,2,30000.0,5.0,0,0,0,1.647325,1.7542,1.803725,1.57325,,,,
1764804536.021329,water,2.0,2,30000.0,5.0,0,0,0,1.64805,1.754275,1.8039,1.5761749999999999,,,,
1764804566.240037,water,2.0,2,30000.0,5.0,0,0,0,1.6477,1.754075,1.80405,1.5754000000000001,,,,
1764804596.4594321,water,2.0,2,30000.0,5.0,0,0,0,1.6474250000000001,1.7542250000000001,1.804425,1.5755000000000001,,,,
1764804626.6758244,water,2.0,2,30000.0,5.0,0,0,0,1.649875,1.7544,1.8049,1.57555,,,,
1764804656.8996265,water,2.0,2,30000.0,5.0,0,0,0,1.6490500000000001,1.7547,1.805175,1.575325,,,,
1764804687.1177561,water,2.0,2,30000.0,5.0,0,0,0,1.64935,1.75475,1.80555,1.575275,,,,
1764804717.3383164,water,2.0,2,30000.0,5.0,0,0,0,1.6466500000000002,1.754825,1.8057,1.57565,,,,
1764804747.558364,water,2.0,2,30000.0,5.0,0,0,0,1.646675,1.755025,1.8058,1.5776000000000001,,,,
1764804777.777468,water,2.0,2,30000.0,5.0,0,0,0,1.648325,1.75475,1.8059500000000002,1.576575,,,,
1764804807.993932,water,2.0,2,30000.0,5.0,0,0,0,1.650875,1.7550000000000001,1.806225,1.5781,,,,
1764804838.2104948,water,2.0,2,30000.0,5.0,0,0,0,1.648175,1.7551,1.8061,1.579175,,,,
1764804868.4288423,water,2.0,2,30000.0,5.0,0,0,0,1.65045,1.755125,1.8063250000000002,1.5783,,,,
1764804898.6452837,water,2.0,2,30000.0,5.0,0,0,0,1.650225,1.75505,1.806275,1.579325,,,,
1764804928.8675222,water,2.0,2,30000.0,5.0,0,0,0,1.650575,1.754975,1.8063,1.579,,,,
1764804959.0885854,water,2.0,2,30000.0,5.0,0,0,0,1.65015,1.755575,1.806575,1.578675,,,,
1764804989.305601,water,2.0,2,30000.0,5.0,0,0,0,1.650875,1.7555500000000002,1.8066250000000001,1.58,,,,
1764805019.5231218,water,2.0,2,30000.0,5.0,0,0,0,1.651175,1.7554,1.80675,1.5818,,,,
1764805049.740501,water,2.0,2,30000.0,5.0,0,0,0,1.651875,1.7553750000000001,1.80685,1.5827,,,,
1764805079.9598787,water,2.0,2,30000.0,5.0,0,0,0,1.6495250000000001,1.7556,1.807125,1.580725,,,,
1764805110.1787791,water,2.0,2,30000.0,5.0,0,0,0,1.651925,1.755675,1.8071,1.58205,,,,
1764805140.3965302,water,2.0,2,30000.0,5.0,0,0,0,1.652075,1.755875,1.807325,1.5822,,,,
1764805170.6125805,water,2.0,2,30000.0,5.0,0,0,0,1.6506750000000001,1.7559500000000001,1.807525,1.58245,,,,
1764805200.8290992,water,2.0,2,30000.0,5.0,0,0,0,1.6527,1.756125,1.807525,1.58215,,,,
1764805231.0473068,water,2.0,2,30000.0,5.0,0,0,0,1.6534250000000001,1.756275,1.8076750000000001,1.58345,,,,
1764805261.2657638,water,2.0,2,30000.0,5.0,0,0,0,1.65385,1.756375,1.8078500000000002,1.5833,,,,
1764805291.482053,water,2.0,2,30000.0,5.0,0,0,0,1.6533,1.7560499999999999,1.807725,1.585275,,,,
1764805321.6976664,water,2.0,2,30000.0,5.0,0,0,0,1.653675,1.7564,1.807775,1.583325,,,,
1764805351.9181406,water,2.0,2,30000.0,5.0,0,0,0,1.654175,1.75635,1.807425,1.584225,,,,
1764805382.1339672,water,2.0,2,30000.0,5.0,0,0,0,1.6525750000000001,1.7566,1.8078500000000002,1.58415,,,,
1764805412.3511174,water,2.0,2,30000.0,5.0,0,0,0,1.6534,1.7566,1.808075,1.5858,,,,
1764805442.5679436,water,2.0,2,30000.0,5.0,0,0,0,1.654425,1.75635,1.807975,1.5865500000000001,,,,
1764805472.78657,water,2.0,2,30000.0,5.0,0,0,0,1.654125,1.75665,1.8080500000000002,1.5871,,,,
1764805503.0023887,water,2.0,2,30000.0,5.0,0,0,0,1.654625,1.757025,1.8084,1.588325,,,,
1764805533.2190595,water,2.0,2,30000.0,5.0,0,0,0,1.6541,1.756825,1.8086,1.589175,,,,
1764805563.4377306,water,2.0,2,30000.0,5.0,0,0,0,1.65375,1.757175,1.80855,1.590225,,,,
1764805593.6530366,water,2.0,2,30000.0,5.0,0,0,0,1.6539000000000001,1.75735,1.8088,1.588825,,,,
1764805623.8698814,water,2.0,2,30000.0,5.0,0,0,0,1.654125,1.757325,1.809275,1.5891250000000001,,,,
1764805654.0886712,water,2.0,2,30000.0,5.0,0,0,0,1.652875,1.75715,1.808875,1.588575,,,,
1764805684.3033383,water,2.0,2,30000.0,5.0,0,0,0,1.654725,1.7579500000000001,1.809325,1.58745,,,,
1764805714.5188904,water,2.0,2,30000.0,5.0,0,0,0,1.655775,1.757875,1.809525,1.58655,,,,
1764805744.737105,water,2.0,2,30000.0,5.0,0,0,0,1.6542000000000001,1.757925,1.8098,1.5871,,,,
1764805774.95582,water,2.0,2,30000.0,5.0,0,0,0,1.656925,1.7578500000000001,1.8096,1.5889,,,,
